项目名称,项目简介,主要产品,业主方,所在地,行业,大类
西安天承明广场项目,"['该项目位于陕西省西安市，由陕西天承明置业公司投资建设，占地面积约为26049平方米，总建筑面积约为220503平方米。', '项目总投资10亿元。']",总建筑面积约为220503平方米。,['陕西天承明置业公司'],陕西省西安市,建筑,建筑
铜川市新区工业园LNG加气站项目,"['该项目位于陕西省铜川市新区工业园，由陕西绿能低碳能源发展有限公司投资建设，计划建设加气站站房、加气站罩棚及配套设施，建设加注量50万立方/日LNG加注站1座。 备注：陕西绿能低碳能源发展有限公司为北京绿能高科国际能源工程有限公司的下属公司。', '项目总投资6000万元。']",建设加注量50万立方/日LNG加注站1座。,"['陕西绿能低碳能源发展有限公司', '北京绿能高科国际能源工程有限公司']",陕西省铜川市新区工业园,能源矿产,能源矿产
选煤厂能力提升技术改造项目,"['该项目位于陕西省榆林市神木县锦界镇凉水井矿区，由神木汇森凉水井矿业有限责任公司投资建设，主要包括新增脱粉车间、新增转载点、带式输送机栈桥、配电室及准备车间、块煤洗选车间、末煤车间、产品仓上改造等工程。', '项目总投资5000万元。']",主要包括新增脱粉车间、新增转载点、带式输送机栈桥、配电室及准备车间、块煤洗选车间、末煤车间、产品仓上改造等工程。,['神木汇森凉水井矿业有限责任公司'],陕西省榆林市神木县锦界镇凉水井矿区,能源矿产,能源矿产
年处理50万吨煤泥、废煤、煤矸石再利用项目,"['该项目位于陕西省榆林市神木县兴源焦化厂厂区内，由神木县丹尼尔能源有限公司投资建设，建设年处理50万吨煤泥、废煤、煤矸石再利用项目。', '项目总投资3500万元。']",建设年处理50万吨煤泥、废煤、煤矸石再利用项目。,['神木县丹尼尔能源有限公司'],陕西省榆林市神木县兴源焦化厂厂区内,能源矿产,能源矿产
关中环线LNG加气站项目,"['该项目位于陕西省渭南市临渭区关中环线，由陕西渭南嘉盛科技工贸有限公司投资建设，日加气量约3~5万立方。', '项目总投资1500万元。']",日加气量约3~5万立方。,['陕西渭南嘉盛科技工贸有限公司'],陕西省渭南市临渭区关中环线,能源矿产,能源矿产
锅炉增加湿式电除尘器项目,"['该项目位于陕西省宝鸡市凤翔县长青镇，由陕西长青能源化工有限公司投资建设，对3*180t/h锅炉增加湿式电除尘器。', '项目总投资1000万元。']",3*180t/h锅炉增加湿式电除尘器。,['陕西长青能源化工有限公司'],陕西省宝鸡市凤翔县长青镇,化工医药,化工医药
南郑县大河坎给水工程（二期）配水厂及输配水管网工程,"['该项目位于陕西省汉中市南郑县汉中，新建日供水3万立方米水源地、日供水3万立方米水厂工程，新建水源井深井泵房10座，新建井间联络管及输水管线长5.369千米；新建清水池1座、清水池联络管及相关附属设施；新建配水管网长7.628千米。', '项目总投资2400万元。']",新建日供水3万立方米水源地、日供水3万立方米水厂工程，新建水源井深井泵房10座，新建井间联络管及输水管线长5.369千米；新建清水池1座、清水池联络管及相关附属设施；新建配水管网长7.628千米。,['南郑县大河坎水厂'],陕西省汉中市南郑县汉中,市政公用,其他
江北水厂提质扩能工程,"['该项目位于陕西省安康市江北水厂厂区内，日供水处理能力5万吨，处理工艺为：絮凝沉淀+V型滤池+加药消毒，出水水质符合国家《生活饮用水卫生标准》(GB5749-2006)要求。', '项目总投资5000万元。']",拟对日供水处理能力5万吨水厂提标扩能。,['安康市自来水公司'],陕西省安康市江北水厂厂区内,市政公用,其他
华能铜川电厂铁路专用线工程,"['该项目位于陕西省铜川市，由华能国际电力开发公司铜川照金电厂投资建设，工程自咸（阳）铜（川）线梅家坪车站接轨，由梅家坪站南咽喉接轨引出后折向西行，经渭南市富平县梅家坪镇、咸阳市三原县马额镇、铜川市耀州区坡头镇，终点至华能铜川电厂规划二期卸煤场，正线全长15.276公里，设计速度每小时80公里，采用内燃机车牵引，工程近、远期列车对数均为9对/日，共设站场2处。工程仅在梅家坪站进行接线，在新建的电厂站设综合保养工区1处、整备所1处，不设原煤储存设施。工程占地总计99.3公顷，其中永久占地51.43公顷，临时占地47.87公顷。工程不设置取土场，设置3处弃土场。', '项目总投资94874.6万元。']",正线全长15.276公里。,['华能国际电力开发公司铜川照金电厂'],陕西省铜川市,交通运输,交通运输
中国移动西北大区物流中心生产调度用房建设工程,"['该项目位于陕西省西安市西安国际港务区港务大道东侧，由中国移动通信集团陕西有限公司投资建设，项目兴建数幢数层高的办公楼，总建筑面积为2万平方米。', '项目总投资4000万元。']",总建筑面积为2万平方米。,['中国移动通信集团陕西有限公司'],陕西省西安市西安国际港务区港务大道东侧,建筑,建筑
万和顺定边30兆瓦光伏电站项目,"['该项目位于陕西省榆林市定边县，由榆林市定边县万和顺新能源发电有限公司投资建设，建设30兆瓦光伏电站。', '项目总投资3亿元。']",建设30兆瓦光伏电站。,['榆林市定边县万和顺新能源发电有限公司'],陕西省榆林市定边县,电力,电力
泾渭茶博园建设项目,"['该项目位于陕西省咸阳市，由咸阳泾渭茯茶有限公司投资建设，总建筑面积约为157710平方米。', '项目总投资20700万元。']",总建筑面积约为157710平方米。,['咸阳泾渭茯茶有限公司'],陕西省咸阳市,市政公用,其他
神木县40兆瓦光伏发电项目,"['该项目位于陕西省榆林市神木县，由神木顺利新能源有限公司投资建设，建设40MW光伏发电站。', '项目总投资40000万元。']",建设40MW光伏发电站。,['神木顺利新能源有限公司'],陕西省榆林市神木县,电力,电力
巨光印台30兆瓦光伏电站工程,"['该项目位于陕西省铜川市印台区，由铜川巨光光伏发电有限公司投资建设，建设30兆瓦的地面光伏发电站。', '项目总投资3亿元。']",建设30兆瓦的地面光伏发电站。,['铜川巨光光伏发电有限公司'],陕西省铜川市印台区,电力,电力
延安新区北区第一九年制义务教育学校项目（更新）,"['该项目位于陕西省延安市新区北区，由延安市新区管理委员会投资建设，规划总建筑面积60021.29平方米，其中地上建筑面积51817.64平方米，地下建筑面积8203.65平方米。共设置72个教学班，其中中学36个教学班，小学36个教学班，400米标准环形跑道、4个篮球场、4个羽毛球场、乒乓球场若干、风雨操场一处、篮球场用地地下部分设置标准游泳池。', '项目总投资17090万元。']",规划总建筑面积60021.29平方米，其中地上建筑面积51817.64平方米，地下建筑面积8203.65平方米。,['延安市新区管理委员会'],陕西省延安市新区北区,建筑,建筑
高陵县店子王泾河大桥新建工程（更新）,"['该项目位于陕西省西安市高陵县，全长1167米，其中新建两条泾河大桥引线，北引线长113米，南引线长258米，路基宽度为32米；拟建桥梁长796米，桥宽32米，公路等级为一级公路，设计车速80公里/小时。', '项目总投资20500万元。']",全长1167米，公路等级为一级公路。,['高陵县交通运输局'],陕西省西安市高陵县,交通运输,交通运输
西安市公共法律服务中心等项目,"['该项目位于陕西省西安市，由西安市司法局投资建设，总建筑面积为22761平方米。', '项目总投资6000万元。']",总建筑面积为22761平方米。,['西安市司法局'],陕西省西安市,建筑,建筑
【VIP】陕西煤业西安总部研发基地项目（跟踪1）,"['该项目位于陕西省西安市，由陕西煤业化工技术研究院有限责任公司投资建设，总占地101251平方米，总建筑总面积为142200平方米，建构筑物占地面积27300平方米，包括行政办公大楼、研究所（现代煤炭开采技术研究所、现代化工技术研究所、新材料技术研究所、新能源技术研究所、工程技术研究所）、分析测试大楼、机加工车间、新设备试制中心及配套的公用工程设施、生活设施等。', '项目总投资83535.51万元。', '项目进展情况：', '（1）前期工作情况：从业主处获悉，截至目前，该项目前期工作部分办理完成。', '（2）设计工作情况：设计工作正在进行，由华陆工程科技有限责任公司负责。', '（3）土建施工情况：土建工程暂未开展，后期将公开施工招标，招标时间待定，计划2015年年底前正式动工建设，建设周期约3年。', '（4）设备采购情况：所需设备尚未采购，采购时间根据施工进度确定。']",总用地101251平方米，总建筑总面积为142200平方米。,['陕西煤业化工技术研究院有限责任公司'],陕西省西安市国家民用航天产业基地,市政公用,其他
【VIP】咸阳市镇区民用天然气项目,"['该项目位于陕西省咸阳市旬邑县各镇、社区，由陕西华一天然气有限公司投资建设，项目分三期建设，项目分三期建设，一期铺设张洪镇、太村镇、郑家镇、太村产业园区、原底社区、赤道社区的中压管网并完成部分居民用气工程；二期铺设职田镇、马栏镇、湫波头镇、底庙镇的中压管网并完成部分居民用气工程；三期铺设土桥镇、丈八寺镇、清源镇的中压管网并完成部分居民用气工程。由于尚未进行项目初步设计工作，具体建设规模尚未最终确定。', '项目总投资21000万元。', '项目进展情况：', '（1）前期工作情况：截至目前，该项目正在进行立项备案等手续审批办理；', '（2）设计工作情况：该项目设计工作由陕西高科建筑设计院负责，目前尚未开始具体设计，计划在2015年第四季度着手初步设计；', '（3）土建施工情况：该项目暂未进行施工建设，开工时间暂未确定；', '（4）设备采购情况：据业主介绍，该项目所需管材、调压设备等设备暂未开始采购，具体采购时间暂未确定。']",项目分三期建设，一期铺设张洪镇、太村镇、郑家镇、太村产业园区、原底社区、赤道社区的中压管网并完成部分居民用气工程；二期铺设职田镇、马栏镇、湫波头镇、底庙镇的中压管网并完成部分居民用气工程；三期铺设土桥镇、丈八寺镇、清源镇的中压管网并完成部分居民用气工程。,['陕西华一天然气有限公司'],陕西省咸阳市旬邑县各镇、社区,能源矿产,能源矿产
